Cast Vote Record,Precinct,Ballot Style,Presidential Electors (215),U.S. Senator (220),U.S. Representative in Congress Dist. 3 Dist 3 (225),U.S. Representative in Congress Dist. 4 Dist 4 (230),State Senator Dist. 4 (235),State Senator Dist. 13 (240),State Representative Dist 4 (245),,State Representative Dist 13 (252),,Corporation Commissioner (259),,,Board of Supervisors Dist 1 (268),Board of Supervisors Dist 2 (273),Board of Supervisors Dist 3 (278),Board of Supervisors Dist 4 (283),Board of Supervisors Dist 5 (288),County Assessor (293),County Attorney (298),County Recorder (303),County School Superintendent (308),County Sheriff (313),County Treasurer (318),Constable Prec. 3 (323),Retain Justice BRUTINEL (331),Retain Justice GOULD (338),Retain Justice LOPEZ IV (345),Retain Judge CAMPBELL (352),Retain Judge CRUZ (359),Judge of the Superior Court Div. 1 (366),Judge of the Superior Court Div. 2 (371),Judge of the Superior Court Div. 4 (376),Judge of the Superior Court Div. 6 (381),Board Member Gadsden ESD 32 (386),,Board Member Hospital Dist Brd 1 (393),,PROPOSITION 207 (403),PROPOSITION 208 (410),PROPOSITION 414 (417),PROPOSITION 415 (424),PROPOSITION 412 (431),PROPOSITION 413 (438),QUESTION 1 (445)
4432,PRECINCT 009,PRECINCT 009 9.01,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CLARIDGE, JEREMY (CND047)",NO (NO / NO),YES (YES / SÍ),,,,,
4433,PRECINCT 008,PRECINCT 008,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CLARIDGE, JEREMY (CND047)","URIBE, CONNIE (CND051)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4434,PRECINCT 008,PRECINCT 008,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,"REP SLOAN, ERIC (CND020)",undervote,undervote,,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",Write-in,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HUTSELL, MARK (CND049)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4435,PRECINCT 013,PRECINCT 013 13.01,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),undervote,undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4436,PRECINCT 011,"PRECINCT 011 11.02, 11.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4437,PRECINCT 016,"PRECINCT 016 16.01, 16.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)",Write-in,"KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4438,PRECINCT 010,"PRECINCT 010 10.01, 10.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",NO (NO / NO),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
4439,PRECINCT 041,PRECINCT 041,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4440,PRECINCT 042,PRECINCT 042 42.01,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,"REP SLOAN, ERIC (CND020)",undervote,undervote,,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CLARIDGE, JEREMY (CND047)",undervote,NO (NO / NO),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
4441,PRECINCT 010,"PRECINCT 010 10.01, 10.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","DEM SANDOVAL, MARIANA (CND017)","REP SLOAN, ERIC (CND020)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4442,PRECINCT 027,PRECINCT 027 27.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,"DEM REYES, MARCO A. (TONY) (CND027)",,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HUTSELL, MARK (CND049)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,,,
4443,PRECINCT 026,PRECINCT 026 26.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,,"DEM REYES, MARCO A. (TONY) (CND027)",,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),NO (NO / NO),NO (NO / NO),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,,,
4444,PRECINCT 008,PRECINCT 008,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,"HAWS, DAVID (CND041)",undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4445,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4446,PRECINCT 038,PRECINCT 038 38.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)",undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),NO (NO / NO),
4447,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)",undervote,undervote,undervote,,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",NO (NO / NO),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
4448,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HIRTH, LOUIS (CND048)","URIBE, CONNIE (CND051)",NO (NO / NO),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
4449,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
4450,PRECINCT 015,PRECINCT 015,LBT JORGENSEN / COHEN (CND003),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","REP MARQUEZ PETERSON, LEA (CND018)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4451,PRECINCT 036,"PRECINCT 036 36.01, 36.02",DEM BIDEN / HARRIS (CND002),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"REP SLOAN, ERIC (CND020)","DEM TOVAR, ANNA (CND023)",undervote,,,,,"DEM PANCRAZI, LYNNE (CND029)","REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),YES (YES / SÍ),,,,,
4452,PRECINCT 036,"PRECINCT 036 36.03, 36.04",REP TRUMP / PENCE (CND001),"DEM KELLY, MARK (CND005)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4453,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,undervote,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4454,PRECINCT 036,"PRECINCT 036 36.01, 36.02",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,undervote,undervote,,,,,
4455,PRECINCT 036,"PRECINCT 036 36.01, 36.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),YES (YES / SÍ),,,,,
4456,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,undervote,undervote,,,undervote,undervote,
